stock1,stock2,lag,A_causes_B,B_causes_A,p_AB,p_BA
MSFT,AES,1,False,True,0.09165993408651289,0.034885843013197394
MSFT,PPL,1,False,False,0.5029677722604918,0.2828580136592051
MSFT,NRG,1,False,False,0.34954112837712825,0.7627969766698786
MSFT,VST,1,False,False,0.8625897913960937,0.8413855999853379
MSFT,UGI,1,False,False,0.7848157168768748,0.23276396210926809
MSFT,OGE,1,False,False,0.8195882970167341,0.8159248898382524
MSFT,PNW,1,False,False,0.24808724862984646,0.8877767881009945
MSFT,SHOP,1,False,False,0.4568778527510218,0.42871386435322445
MSFT,UBER,1,False,False,0.6453479517229759,0.8597244184119502
MSFT,ABNB,1,False,False,0.49292734397888516,0.7159097004560299
MSFT,DASH,1,False,False,0.9219311403831262,0.4005328412029979
MSFT,SPOT,1,False,False,0.1354473357542448,0.09809046818366428
MSFT,ROKU,1,False,False,0.8329502941788449,0.9473561198935436
MSFT,ZM,1,False,False,0.6730007854984998,0.4598019084999708
MSFT,TEAM,1,False,False,0.1138393433395991,0.3887335887432113
MSFT,DBX,1,False,False,0.8650765318159378,0.5559605040461595
MSFT,PINS,1,False,False,0.7676162189831595,0.8077903781831512
MSFT,SNAP,1,False,False,0.6266969535872418,0.12895308619786708
MSFT,LYFT,1,False,False,0.33105687657045824,0.692985838449436
MSFT,ETSY,1,False,False,0.7917999568277029,0.6886605490133364
MSFT,GDDY,1,False,False,0.7941126841849011,0.3477342739667775
MSFT,WIX,1,False,False,0.3500347365376544,0.7554794250989609
MSFT,FVRR,1,False,False,0.9210996423138035,0.6751468688581049
MSFT,UPWK,1,False,False,0.2623769517694249,0.4377351519710547
MSFT,TXN,1,False,False,0.8944367593657834,0.20205002942627234
MSFT,MCHP,1,False,False,0.3455966619736568,0.6078681392805814
MSFT,SWKS,1,False,False,0.4970674574350279,0.6341926195449752
MSFT,QRVO,1,False,False,0.35741649441227463,0.413748774290554
MSFT,MPWR,1,False,False,0.7878872162550761,0.7739853695510905
MSFT,ON,1,False,False,0.7214435028733042,0.8107224389894624
MSFT,NXPI,1,False,False,0.8665208521839534,0.17219196715816215
MSFT,STM,1,False,False,0.7486217213597808,0.2161061041873034
MSFT,LSCC,1,False,False,0.14190813625847723,0.9254784086230706
MSFT,SAP,1,False,False,0.28602869162715244,0.789807224429989
MSFT,WDAY,1,False,False,0.8759687509059875,0.4613563843828614
MSFT,VEEV,1,False,False,0.7723104105579188,0.3745574642296744
MSFT,HUBS,1,False,False,0.6299448806264905,0.7655576518994158
MSFT,BILL,1,False,False,0.3925025042478655,0.5234222659470109
MSFT,GTLB,1,False,False,0.054699228780063794,0.613569825197585
MSFT,ESTC,1,True,False,0.014295683901269762,0.641972868531669
MSFT,FROG,1,False,False,0.8292580792467601,0.05379658726075499
MSFT,NCNO,1,False,False,0.19698153574272823,0.8369864835726631
MSFT,TENB,1,False,False,0.5002841721965378,0.3896894089938394
MSFT,RPD,1,False,False,0.4225269161346027,0.751933070175823
MSFT,RIVN,1,False,False,0.6838152923145018,0.37960509806919773
MSFT,LCID,1,False,False,0.5441992714314241,0.540960102807051
MSFT,NIO,1,False,False,0.5995225801545083,0.5324478049288068
MSFT,XPEV,1,False,False,0.7746141404025445,0.5247535745757457
MSFT,LI,1,False,False,0.8082728175240135,0.7560915236154934
MSFT,PLUG,1,False,False,0.7922822951122243,0.9911492829474436
MSFT,FCEL,1,False,False,0.9831313297136944,0.8062323357548731
MSFT,BLDP,1,False,False,0.35420150850055365,0.5597722261558944
MSFT,BE,1,False,False,0.5677479279766702,0.733127072049836
MSFT,ENPH,1,False,False,0.264702916584717,0.5323188618133046
MSFT,SEDG,1,False,False,0.7861022721680866,0.27180623616529925
MSFT,RUN,1,False,False,0.4245450861056762,0.2840151654895435
MSFT,SPWR,1,False,False,0.5932768796244865,0.8403638344100638
MSFT,CSIQ,1,False,False,0.9321317319180686,0.36595478534447423
GOOGL,AMZN,1,False,False,0.2784981355257899,0.813253836674531
GOOGL,NVDA,1,False,False,0.14095879008696383,0.5697159001652069
GOOGL,META,1,False,False,0.28241117434010504,0.19699869624199992
GOOGL,TSLA,1,False,False,0.805430050387924,0.5635606562618019
GOOGL,AVGO,1,True,False,0.048913482357404975,0.27431800394228245
GOOGL,ORCL,1,False,False,0.43428576321960055,0.5757377030546649
GOOGL,ADBE,1,False,False,0.06141158640703071,0.5817398730090251
GOOGL,CRM,1,False,False,0.11366064217278628,0.36751329993196813
GOOGL,NFLX,1,False,False,0.984564687947597,0.9190692011806647
GOOGL,AMD,1,False,False,0.49604417621586094,0.6609853245153844
GOOGL,INTC,1,False,False,0.3201309429730991,0.8042122846015283
GOOGL,QCOM,1,False,False,0.6042069747453116,0.4500861631512496
