Leader,Follower,ShiftDays,Correlation,Direction
GOOGL,TMUS,25,-0.14786765703813304,GOOGL→TMUS
GOOGL,T,25,0.3818294098721209,GOOGL→T
GOOGL,CB,25,-0.33663382685931886,GOOGL→CB
CB,GOOGL,25,-0.22074261352629135,CB→GOOGL
GOOGL,SCHW,25,0.7316160297042432,GOOGL→SCHW
SCHW,GOOGL,25,0.25919762613004077,SCHW→GOOGL
GOOGL,SO,25,0.5008768169863267,GOOGL→SO
SO,GOOGL,25,0.4046324163651683,SO→GOOGL
GOOGL,PGR,25,-0.5742581745653403,GOOGL→PGR
PGR,GOOGL,25,-0.5338293951297511,PGR→GOOGL
GOOGL,AXP,25,0.6047053794860897,GOOGL→AXP
AXP,GOOGL,25,0.56783682290125,AXP→GOOGL
GOOGL,ZTS,25,-0.4499316971238809,GOOGL→ZTS
ZTS,GOOGL,25,-0.3651953274071728,ZTS→GOOGL
GOOGL,CL,25,-0.6051583350270755,GOOGL→CL
CL,GOOGL,25,-0.7124928034684019,CL→GOOGL
